url_hash,room_count,house_floors,apt_floor,price,sqm,sqm_price,apt_address,listed_date,removed_date,days_listed,view_count
bdeni,2,9,5,49500,50,990,Ausekļa prospekts 2a,2021.10.17,2021.11.14,27,
hdkml,3,9,8,57000,63,905,Zilokalnu prospekts 20,2021.09.29,2021.11.16,47,
bilgl,2,3,2,68000,62,1097,Brīvības 115,2021.10.20,2021.11.17,27,
fxobe,2,4,2,42000,41,1034,Grīvas prospekts 1,2021.10.20,2021.11.17,27,
ebenp,2,5,4,43000,46,935,Mālkalnes prospekts 35,2021.10.12,2021.11.20,38,
fdhmk,2,5,4,67500,50,1350,Lapu 11,2021.10.23,2021.11.20,27,
cijml,1,9,6,37000,40,925,Tīnūžu iela 5,2021.11.13,2021.11.21,7,
adkck,1,9,7,34500,40,863,Tīnūžu ielā 7,2021.10.11,2021.11.22,41,
gcghm,1,3,2,25000,30,833,Grīvas pr. 23,2021.11.09,2021.11.23,13,
gjmpf,2,5,5,55000,55,1000,Malkalnes 7,2021.10.12,2021.11.23,41,
acobj,1,5,1,27700,26,1065,Mālkalnes 15,2021.10.29,2021.11.26,27,
aongf,1,5,5,33000,34,971,Rīgas 10,2021.11.12,2021.11.26,13,
fnknk,1,9,6,35000,45,778,Tīnūžu 13,2021.11.24,2021.11.26,1,
afjcb,2,5,4,75000,52,1442,Parka iela 8,2021.10.16,2021.11.27,41,
heidh,1,4,2,26000,30,867,Grīvas prospekts 8,2021.11.21,2021.11.27,5,
bhlho,2,2,2,29000,52,558,Tīnūžu iela 8,2021.11.02,2021.11.30,27,
heonk,3,5,3,78900,66,1195,Grīvas prospekts 29,2021.11.18,2021.11.30,11,
adimb,1,4,2,25000,30,833,Grīvas prospekts 8,2021.11.27,2021.12.05,7,
hhixk,2,3,2,75000,64,1172,Brīvības 115a,2021.10.24,2021.12.05,41,
ahbhj,2,9,8,50000,50,1000,Ausekļa prospekts 7a,2021.10.25,2021.12.06,41,
aixhm,2,4,1,47000,48,979,Turkalnes iela 1a,2021.11.15,2021.12.06,20,
beipc,1,5,5,25000,34,735,Mālkalnes prospekts 5,2021.11.09,2021.12.06,26,
cdbbp,1,5,2,40000,30,1333,Mālkalnes 35,2021.11.12,2021.12.06,23,
echlj,3,9,5,59950,64,937,Zilokalnu prospekts 20,2021.09.22,2021.12.06,74,
ehiob,2,6,6,80000,53,1509,Mālkalnes 26,2021.11.08,2021.12.06,27,
gcghm,1,3,2,25000,30,833,Grīvas pr. 23,2021.12.02,2021.12.06,3,
agnhd,1,5,4,39000,30,1300,Malkalnes 6,2021.11.09,2021.12.07,27,
aiexp,2,5,5,40000,37,1081,Mālkalnes 18,2021.11.30,2021.12.07,6,
akbol,2,9,7,63000,48,1313,Zilokalnu 16,2021.10.26,2021.12.07,41,
clncf,2,3,2,52000,55,939,Brīvības iela 111,2021.11.09,2021.12.07,27,
cefhh,3,9,3,70000,63,1111,Ausekļa prospekts 7,2021.11.04,2021.12.08,33,
bchbp,1,5,1,33500,29,1155,Mālkalnes 37,2021.11.07,2021.12.09,31,
